Start Request OrgSize ZipSize SendDelta TotalDelta
2020-11-08 15:09:08.588277 Search 32253263 None 0:00:00.010941 0:00:00.572283
2020-11-08 15:09:10.435709 Search 32253263 None 0:00:00.009973 0:00:00.542553
2020-11-08 15:09:13.779051 Search 32253263 11288013 0:00:00.008007 0:00:00.679828
2020-11-08 15:09:18.005667 Search 32253263 11288013 0:00:00.004506 0:00:00.689635
2020-11-08 15:27:04.541986 Replace 32253263 0:00:00.031914 0:00:01.129524
2020-11-08 15:27:31.041608 Replace 32253263 11288013 0:00:00.010971 0:00:01.177176
2020-11-08 15:27:48.359276 Replace 32253263 11288013 0:00:00.018952 0:00:03.325959
2020-11-08 15:46:13.106693 Reverse 8192 3368 0:00:00.018999 0:00:00.218957
2020-11-08 15:46:17.076283 Reverse 8192 None 0:00:00.000987 0:00:00.089483
2020-11-08 15:46:30.949614 Reverse 32253263 None 0:00:00.029929 0:00:12.321261
2020-11-08 15:48:06.957597 Reverse 32253263 None 0:00:00.027893 0:00:12.117373
2020-11-08 16:01:54.319970 Search 8192 None 0:00:00.002992 0:00:00.010970
2020-11-08 16:01:55.345123 Replace 8192 None 0:00:00.000997 0:00:00.110704
2020-11-08 16:01:56.248084 Reverse 8192 None 0:00:00 0:00:00.182510
2020-11-08 16:01:58.912413 Search 8192 3368 0:00:00.013001 0:00:00.024934
2020-11-08 16:02:00.560407 Replace 8192 3368 0:00:00.008976 0:00:00.130307
2020-11-08 16:02:02.216468 Reverse 8192 3368 0:00:00.003989 0:00:00.208442
2020-11-08 16:05:18.441168 Search 8192 None 0:00:00.001997 0:00:00.047817
2020-11-08 17:12:28.351382 Replace 8192 3368 0:00:00.015958
2020-11-08 17:18:32.039456 Replace 8192 3368 0:00:00.005983
2020-11-08 17:20:31.008490 Replace 8192 3368 0:00:00.011968
2020-11-08 19:12:10.036874 Search 8192 None 0:00:00.001994 0:00:00.073802
2020-11-08 19:12:17.668610 Search 8192 None 0:00:00.001957 0:00:00.062792
2020-11-08 19:21:07.748871 Replace 8192 None 0:00:00.001992
2020-11-08 19:24:28.772793 Replace 8192 None 0:00:00
2020-11-08 19:31:53.037958 Replace 8192 None 0:00:00.001994 0:00:00.131540
2020-11-08 19:31:55.742327 Reverse 8192 None 0:00:00.000997 0:00:00.193424
2020-11-08 19:31:57.725881 Search 8192 None 0:00:00 0:00:00.080914
2020-11-08 20:24:22.474303 Search 8192 None 0:00:00.001992 0:00:00.106712
2020-11-08 20:24:41.086374 Replace 8192 None 0:00:00.000994 0:00:00.171496
2020-11-08 20:24:44.693805 Reverse 8192 None 0:00:00 0:00:00.206963
2020-11-08 20:34:35.199993 Search 8192 3368 0:00:00.002993 0:00:04.268460
2020-11-08 20:36:00.903906 Replace 8192 3368 0:00:00.013962 0:00:04.965255
2020-11-08 20:36:11.160353 Reverse 8192 3368 0:00:00.005982 0:00:00.262297
2020-11-08 20:36:14.008468 Search 8192 None 0:00:00.000996 0:00:00.089760
2020-11-08 20:36:14.976374 Replace 8192 None 0:00:00 0:00:00.170541
2020-11-08 20:36:15.784290 Reverse 8192 None 0:00:00.000997 0:00:00.243922
2020-11-08 20:36:30.672736 Search 8192 3368 0:00:00.014966 0:00:00.099716
2020-11-08 20:36:31.480534 Replace 8192 3368 0:00:00.004986 0:00:00.187377
2020-11-08 20:36:32.521035 Reverse 8192 3368 0:00:00.004986 0:00:00.264320
2020-11-09 20:14:02.700627 Search 8192 None 0:00:00.001994 0:00:00.093834
2020-11-09 20:14:03.876672 Replace 8192 None 0:00:00.000998 0:00:00.116688
2020-11-09 20:14:04.765144 Reverse 8192 None 0:00:00 0:00:00.098425
2020-11-09 20:14:07.173174 Search 8192 3368 0:00:00.012964 0:00:00.093024
2020-11-09 20:14:08.453015 Replace 8192 3368 0:00:00.004986 0:00:00.091752
2020-11-09 20:14:09.949541 Reverse 8192 3368 0:00:00.001995 0:00:00.110705
2020-11-09 20:14:15.188758 Search 8192 3368 0:00:00.001993 0:00:00.079785
2020-11-09 20:14:16.397114 Replace 8192 3368 0:00:00.001994 0:00:00.096740
2020-11-09 20:14:17.996545 Reverse 8192 3368 0:00:00.002992 0:00:00.111701
2020-11-09 20:14:54.070007 Search 32253263 11288013 0:00:00.018063 0:00:00.584950
2020-11-09 20:14:59.420150 Replace 32253263 11288013 0:00:00.023936 0:00:03.192663
2020-11-09 20:15:06.835376 Reverse 32253263 11288013 0:00:00.023936 0:00:22.870538
2020-11-09 22:18:11.144919 Search 8192 None 0:00:00 0:00:00.062832
2020-11-09 22:19:46.737274 Replace 8192 None 0:00:00.001995 0:00:00.158575
2020-11-09 22:19:49.993027 Reverse 8192 None 0:00:00.000998 0:00:00.234407
